Course Code,Course Name,CRN,Type,Section,Time,Day,Instructor,Room Number,Building
QUEC 420,Intermediate Quechua I,77165,Lecture-Discussion,MV2,05:00PM - 06:20PM,TR,"Molina-Vital, C",215,Davenport Hall
REES 200,Intro to Russia and Eurasia,41441,Lecture-Discussion,A,09:30AM - 10:50AM,TR,"Marshall, M",24,"Literatures, Cultures, & Ling"
REES 495,Senior Seminar,30729,Seminar,UG,03:00PM - 04:50PM,R,"Marshall, M",1110,"Literatures, Cultures, & Ling"
REES 550,Seminar in REEE Studies,30731,Seminar,G,03:00PM - 04:50PM,R,"Marshall, M",1110,"Literatures, Cultures, & Ling"
REL 104,Asian Mythology,68182,Discussion/ Recitation,ADA,12:00PM - 12:50PM,F,"Tu, H",1120,"Literatures, Cultures, & Ling"
REL 104,Asian Mythology,68183,Discussion/ Recitation,ADB,11:00AM - 11:50AM,F,"Rives, T",1136,"Literatures, Cultures, & Ling"
REL 104,Asian Mythology,68185,Discussion/ Recitation,ADD,02:00PM - 02:50PM,R,"Tu, H",1136,"Literatures, Cultures, & Ling"
REL 104,Asian Mythology,68190,Discussion/ Recitation,ADI,10:00AM - 10:50AM,F,"Tu, H",1030,"Literatures, Cultures, & Ling"
REL 104,Asian Mythology,68193,Discussion/ Recitation,ADL,12:00PM - 12:50PM,F,"Rives, T",1136,"Literatures, Cultures, & Ling"
REL 104,Asian Mythology,68194,Discussion/ Recitation,ADM,01:00PM - 01:50PM,F,"Rives, T",303,English Building
REL 104,Asian Mythology,68127,Lecture,AL1,10:00AM - 10:50AM,MW,"Newman, A",1404,Siebel Center for Comp Sci
REL 108,Religion & Society in West I,68128,Lecture,A1,01:00PM - 01:50PM,MWF,"Thurston, S",109,Turner Hall
REL 110,World Religions,67749,Discussion/ Recitation,ADA,12:00PM - 12:50PM,R,"Safir, S",1038,"Literatures, Cultures, & Ling"
REL 110,World Religions,67750,Discussion/ Recitation,ADB,01:00PM - 01:50PM,R,"Werkheiser, A",1038,"Literatures, Cultures, & Ling"
REL 110,World Religions,67753,Discussion/ Recitation,ADE,02:00PM - 02:50PM,R,"Werkheiser, A",24,"Literatures, Cultures, & Ling"
REL 110,World Religions,67757,Discussion/ Recitation,ADI,10:00AM - 10:50AM,F,"Tschirki, A",203,Transportation Building
REL 110,World Religions,67761,Discussion/ Recitation,ADL,11:00AM - 11:50AM,F,"Robinson, J",203,Transportation Building
