Subject,Course Id,Name,Section Code,Start Date,End Date,Type,Start,End,Days,Room Number,Building,Instructors
ABE,532,Advanced Contextual Design,APW,2024-08-26Z,2024-12-11Z,Lecture-Discussion,12:30 PM,01:50 PM,TR,218,Ceramics Building,"['Witmer, A']"
ACCY,201,Accounting and Accountancy I,AD2,2024-08-26Z,2024-12-11Z,Discussion/Recitation,08:00 AM,08:50 AM,F,3007,Business Instructional Fac,[]
ACCY,201,Accounting and Accountancy I,AD4,2024-08-26Z,2024-12-11Z,Discussion/Recitation,09:00 AM,09:50 AM,F,3007,Business Instructional Fac,[]
ACCY,201,Accounting and Accountancy I,AD6,2024-08-26Z,2024-12-11Z,Discussion/Recitation,10:00 AM,10:50 AM,F,130,Wohlers Hall,[]
ACCY,201,Accounting and Accountancy I,AD7,2024-08-26Z,2024-12-11Z,Discussion/Recitation,10:00 AM,10:50 AM,F,166,Wohlers Hall,[]
ACCY,201,Accounting and Accountancy I,ADA,2024-08-26Z,2024-12-11Z,Discussion/Recitation,11:00 AM,11:50 AM,F,130,Wohlers Hall,[]
ACCY,201,Accounting and Accountancy I,ADB,2024-08-26Z,2024-12-11Z,Discussion/Recitation,11:00 AM,11:50 AM,F,166,Wohlers Hall,[]
ACCY,201,Accounting and Accountancy I,ADD,2024-08-26Z,2024-12-11Z,Discussion/Recitation,01:00 PM,01:50 PM,F,2057,Business Instructional Fac,[]
ACCY,201,Accounting and Accountancy I,ADE,2024-08-26Z,2024-12-11Z,Discussion/Recitation,12:00 PM,12:50 PM,F,130,Wohlers Hall,[]
ACCY,201,Accounting and Accountancy I,ADF,2024-08-26Z,2024-12-11Z,Discussion/Recitation,12:00 PM,12:50 PM,F,166,Wohlers Hall,[]
ACCY,201,Accounting and Accountancy I,ADG,2024-08-26Z,2024-12-11Z,Discussion/Recitation,02:00 PM,02:50 PM,F,2001,Business Instructional Fac,[]
ACCY,201,Accounting and Accountancy I,ADI,2024-08-26Z,2024-12-11Z,Discussion/Recitation,01:00 PM,01:50 PM,F,130,Wohlers Hall,[]
ACCY,201,Accounting and Accountancy I,ADJ,2024-08-26Z,2024-12-11Z,Discussion/Recitation,01:00 PM,01:50 PM,F,166,Wohlers Hall,[]
ACCY,201,Accounting and Accountancy I,ADK,2024-08-26Z,2024-12-11Z,Discussion/Recitation,01:00 PM,01:50 PM,F,2001,Business Instructional Fac,[]
ACCY,201,Accounting and Accountancy I,ADN,2024-08-26Z,2024-12-11Z,Discussion/Recitation,02:00 PM,02:50 PM,F,2057,Business Instructional Fac,[]
ACCY,201,Accounting and Accountancy I,AL1,2024-08-26Z,2024-12-11Z,Lecture,11:00 AM,12:20 PM,TR,114,David Kinley Hall,[]
ACCY,201,Accounting and Accountancy I,AL2,2024-08-26Z,2024-12-11Z,Lecture,12:30 PM,01:50 PM,TR,114,David Kinley Hall,[]
ACCY,201,Accounting and Accountancy I,AL3,2024-08-26Z,2024-12-11Z,Lecture,09:30 AM,10:50 AM,TR,108,David Kinley Hall,[]
